Organism/Name	TaxID	BioProject Accession	BioProject ID	Phyla	Genus	Size (Mb)	GC%	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession
Rickettsia rhipicephali str. 3-7-female6-CWPP	1105113	PRJNA75041	75041	Proteobacteria	Alphaproteobacteria	1.30547	32.3884	1302	1266	2012/03/01	2013/06/11	Complete	Los Alamos National Laboratory	0	GCA_000284075.1
Wolbachia endosymbiont of Culex quinquefasciatus Pel	570417	PRJNA30313	30313	Proteobacteria	Alphaproteobacteria	1.48246	34.2	1423	1275	2008/06/13	2012/12/23	Complete	Wellcome Trust Sanger Institute	0	GCA_000073005.1
Dichelobacter nodosus VCS1703A	246195	PRJNA50	50	Proteobacteria	Gammaproteobacteria	1.38935	44.4	1351	1280	2007/05/04	2013/06/06	Complete	TIGR	0	GCA_000015345.1
Methanothermus fervidus DSM 2088	523846	PRJNA33689	33689	Euryarchaeota	Methanobacteria	1.24334	31.6	1352	1283	2010/11/05	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02232040	GCA_000166095.1
Bartonella bacilliformis KC583	360095	PRJNA16249	16249	Proteobacteria	Alphaproteobacteria	1.44502	38.2	1375	1283	2007/01/04	2013/06/06	Complete	TIGR	0	GCA_000015445.1
Lactobacillus sanfranciscensis TMW 1.1304	714313	PRJNA43579	43579	Firmicutes	Bacilli	1.37577	34.8429	1519	1284	2011/09/06	2012/08/02	Complete	Lehrstuhl fuer technische Mikrobiologie, Technische Universitaet Muenchen	0	GCA_000225325.1
Rickettsia heilongjiangensis 054	1032845	PRJNA66907	66907	Proteobacteria	Alphaproteobacteria	1.27847	32.3	1338	1297	2011/07/22	2013/06/08	Complete	Academy of Military Medical Sciences, The Institute of Microbiology and Epidemiology, China	0	GCA_000221205.1
Borrelia duttonii Ly	412419	PRJNA18231	18231	Spirochaetes	Spirochaetia	1.57488	28.0227	1469	1305	2008/09/15	2008/09/17	Complete	Marseille-Nice Genopole	0	GCA_000019685.1
Rickettsia rickettsii str. Hlp#2	1105101	PRJNA75015	75015	Proteobacteria	Alphaproteobacteria	1.27075	32.5	1345	1308	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283935.1
Gardnerella vaginalis HMP9231	1009464	PRJNA51067	51067	Actinobacteria	Actinobacteria	1.72652	41.2	1397	1317	2011/05/18	2013/06/08	Complete	J. Craig Venter Institute	0	GCA_000213955.1
Rickettsia parkeri str. Portsmouth	1105108	PRJNA75031	75031	Proteobacteria	Alphaproteobacteria	1.30039	32.4	1355	1318	2012/03/01	2013/10/17	Complete	Los Alamos National Laboratory	0	GCA_000284195.1
Bartonella clarridgeiae 73	696125	PRJEA42109	42109	Proteobacteria	Alphaproteobacteria	1.52274	35.7	1445	1323	2011/01/17	2013/07/06	Complete	Focal area Infection Biology, Biozentrum, University of Basel, Switzerland	0	GCA_000253015.1
Rickettsia rickettsii str. Brazil	1105104	PRJNA75023	75023	Proteobacteria	Alphaproteobacteria	1.25568	32.5	1369	1332	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283955.1
Candidatus Amoebophilus asiaticus 5a2	452471	PRJNA19981	19981	Bacteroidetes/Chlorobi 	Bacteroidetes	1.88436	35	1597	1334	2008/06/09	2012/12/22	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000020565.1
Rickettsia rickettsii str. Hino	1105100	PRJNA75011	75011	Proteobacteria	Alphaproteobacteria	1.26984	32.5	1372	1335	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283815.1
Rickettsia rickettsii str. Hauke	1105103	PRJNA75021	75021	Proteobacteria	Alphaproteobacteria	1.26977	32.5	1377	1340	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283835.1
Lawsonia intracellularis PHE/MN1-00	363253	PRJNA183	183	Proteobacteria	delta/epsilon subdivisions	1.71901	33.0922	1391	1340	2006/05/04	2011/01/06	Complete	Univ. Minnesota	0	GCA_000055945.1
Rickettsia rickettsii str. 'Sheila Smith'	392021	PRJNA9636	9636	Proteobacteria	Alphaproteobacteria	1.25771	32.5	1379	1343	2007/10/02	2012/09/26	Complete	Institute for Systems Biology	0	GCA_000018225.1
Rickettsia rickettsii str. Arizona	1105105	PRJNA75025	75025	Proteobacteria	Alphaproteobacteria	1.2672	32.4	1380	1343	2012/02/17	2013/10/17	Complete	Los Alamos National Laboratory	0	GCA_000283795.1
Candidatus Arthromitus sp. SFB-rat-Yit	1041504	PRJDA67837	67837	Firmicutes	Clostridia	1.51556	28	1398	1343	2011/09/16	2013/06/08	Complete	Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, University of Tokyo	0	GCA_000283555.1
Rickettsia philipii str. 364D	481009	PRJNA75027	75027	Proteobacteria	Alphaproteobacteria	1.28774	32.5	1380	1344	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283995.1
Desulfurococcus mucosus DSM 2162	765177	PRJNA48641	48641	Crenarchaeota	Thermoprotei	1.31464	53.1	1421	1345	2011/01/20	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS107542	GCA_000186365.1
Rickettsia slovaca str. D-CWPP	1105109	PRJNA75033	75033	Proteobacteria	Alphaproteobacteria	1.27572	32.5	1386	1347	2012/03/09	2013/10/17	Complete	Los Alamos National Laboratory	0	GCA_000252365.1
Rickettsia rickettsii str. Colombia	1105102	PRJNA75019	75019	Proteobacteria	Alphaproteobacteria	1.27008	32.5	1387	1350	2012/02/17	2013/06/08	Complete	Los Alamos National Laboratory	0	GCA_000283775.1
Atopobium parvulum DSM 20469	521095	PRJNA29401	29401	Actinobacteria	Actinobacteria	1.54381	45.7	1422	1353	2009/09/09	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000024225.1
Candidatus Pelagibacter ubique HTCC1062	335992	PRJNA13989	13989	Proteobacteria	Alphaproteobacteria	1.30876	29.7	1389	1354	2005/07/22	2013/05/23	Complete	Oregon State University	0	GCA_000012345.1
Cryptobacterium curtum DSM 15641	469378	PRJNA20739	20739	Actinobacteria	Actinobacteria	1.6178	50.9	1422	1357	2009/08/26	2012/12/22	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000023845.1
Weissella koreensis KACC 15510	1045854	PRJNA67979	67979	Firmicutes	Bacilli	1.44147	35.5158	1428	1357	2011/06/30	2012/12/25	Complete	Chung-Ang Univ.	0	GCA_000219805.1
Gardnerella vaginalis ATCC 14019	525284	PRJNA31473	31473	Actinobacteria	Actinobacteria	1.66735	41.4	1421	1365	2010/11/03	2013/06/27	Complete	Baylor College of Medicine	SAMN00001462	GCA_000159155.2
Lawsonia intracellularis N343	1234378	PRJNA175550	175550	Proteobacteria	delta/epsilon subdivisions	1.71919	33.0918	1434	1368	2013/01/14	2013/03/08	Complete	Moredun Research Institute	0	GCA_000331715.1
Dehalococcoides sp. BAV1	216389	PRJNA15770	15770	Chloroflexi	Dehalococcoidia	1.34189	47.2	1436	1371	2007/05/07	2013/06/06	Complete	US DOE Joint Genome Institute	0	GCA_000016705.1
Rickettsia conorii str. Malish 7	272944	PRJNA42	42	Proteobacteria	Alphaproteobacteria	1.26876	32.4	1414	1374	2001/10/03	2013/06/10	Complete	CNRS	0	GCA_000007025.1
Liberibacter crescens BT-1	1215343	PRJNA171392	171392	Proteobacteria	Alphaproteobacteria	1.50466	35.4	1433	1378	2012/12/19	2013/06/10	Complete	University of Florida	0	GCA_000325745.1
Acholeplasma laidlawii PG-8A	441768	PRJNA19259	19259	Tenericutes	Mollicutes	1.49699	31.9	1433	1380	2007/12/07	2012/12/22	Complete	Research Institute for Physico-Chemical Medicine	0	GCA_000018785.1
Rickettsia rickettsii str. Iowa	452659	PRJNA19943	19943	Proteobacteria	Alphaproteobacteria	1.26819	32.4	1491	1382	2008/01/17	2013/07/06	Complete	Rocky Mountain Laboratories	0	GCA_000017445.2
Helicobacter pylori B38	592205	PRJNA39685	39685	Proteobacteria	delta/epsilon subdivisions	1.57676	39.2	1571	1382	2009/07/15	2012/12/23	Complete	Institut Pasteur	0	GCA_000091345.1
Fervidicoccus fontis Kam940	1163730	PRJNA91117	91117	Crenarchaeota	Thermoprotei	1.31921	37.5	1439	1385	2012/04/10	2013/06/08	Complete	Centre Bioengineering RAS	0	GCA_000258425.1
Helicobacter pylori Aklavik86	1055532	PRJNA69925	69925	Proteobacteria	delta/epsilon subdivisions	1.50793	39.253	1429	1387	2012/11/26	2012/12/06	Complete	Washington University Medical School	0	GCA_000317875.1
Thermosphaera aggregans DSM 11486	633148	PRJNA36571	36571	Crenarchaeota	Thermoprotei	1.31659	46.7	1458	1387	2010/05/17	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000092185.1
Borrelia burgdorferi B31	224326	PRJNA3	3	Spirochaetes	Spirochaetia	1.52121	28.1805	1568	1387	1997/12/17	2013/07/04	Complete	TIGR	0	GCA_000008685.2
Candidatus Rickettsia amblyommii str. GAT-30V	1105111	PRJNA75043	75043	Proteobacteria	Alphaproteobacteria	1.48088	32.4475	1427	1390	2012/03/01	2013/06/11	Complete	Los Alamos National Laboratory	0	GCA_000284055.1
Helicobacter mustelae 12198	679897	PRJEA40677	40677	Proteobacteria	delta/epsilon subdivisions	1.5781	42.5	1474	1398	2010/03/11	2012/12/24	Complete	Wellcome Trust Sanger Institute	0	GCA_000091985.1
Helicobacter pylori 52	210	PRJNA39507	39507	Proteobacteria	delta/epsilon subdivisions	1.56883	38.9	1480	1405	2009/10/21	2013/06/08	Complete	Gyeongsang National University College of Medicine and 21c Frontier Human Genome Functional Research Project	0	GCA_000023805.1
Francisella tularensis subsp. mediasiatica FSC147	441952	PRJNA19571	19571	Proteobacteria	Gammaproteobacteria	1.89389	32.3	1750	1406	2008/05/07	2012/12/22	Complete	DOE Joint Genome Institute	0	GCA_000018925.1
Thermogladius cellulolyticus 1633	1184251	PRJNA163135	163135	Crenarchaeota	Thermoprotei	1.35632	55.6	1465	1413	2012/05/25	2013/06/09	Complete	Centre Bioengineering RAS	0	GCA_000264495.1
Candidatus Arthromitus sp. SFB-mouse-Yit	1041809	PRJDA67835	67835	Firmicutes	Clostridia	1.5864	28.1	1468	1415	2011/09/16	2013/06/08	Complete	Center for Omics and Bioinformatics, Graduate School of Frontier Sciences, University of Tokyo	0	GCA_000284435.1
Helicobacter pylori 51	290847	PRJNA9627	9627	Proteobacteria	delta/epsilon subdivisions	1.58995	38.8	1495	1415	2009/10/21	2013/06/08	Complete	Gyeongsang National University College of Medicine and 21c Frontier Human Functional Genome Research Project	0	GCA_000011725.1
Helicobacter pylori UM032	1311573	PRJNA196982	196982	Proteobacteria	delta/epsilon subdivisions	1.59944	38.8	1624	1415	2013/05/14	2013/08/30	Complete	University of Malaya	0	GCA_000392455.2
Dehalococcoides sp. GT	633145	PRJNA36645	36645	Chloroflexi	Dehalococcoidia	1.36015	47.3	1484	1417	2010/02/17	2012/01/25	Complete	US DOE Joint Genome Institute	0	GCA_000025585.1
Desulfurococcus fermentans DSM 16532	768672	PRJNA49401	49401	Crenarchaeota	Thermoprotei	1.38412	44.8	1522	1421	2012/06/07	2013/06/09	Complete	DOE Joint Genome Institute	SAMN02232017	GCA_000231015.3
Rickettsia bellii RML369-C	336407	PRJNA13996	13996	Proteobacteria	Alphaproteobacteria	1.52208	31.6	1469	1429	2006/04/05	2013/06/10	Complete	CNRS	0	GCA_000012385.1
alpha proteobacterium HIMB5	859653	PRJNA50099	50099	Proteobacteria	Alphaproteobacteria	1.3432	28.6	1466	1431	2012/09/24	2013/06/09	Complete	Gordon and Betty Moore Foundation Marine Microbiology Initiative	0	GCA_000299095.1
Bartonella vinsonii subsp. berkhoffii str. Winnie	1094497	PRJNA73951	73951	Proteobacteria	Alphaproteobacteria	1.8027	38.8	1484	1434	2013/02/20	2013/06/10	Complete	Uppsala University	0	GCA_000341385.1
Ignicoccus hospitalis KIN4/I	453591	PRJNA13914	13914	Crenarchaeota	Thermoprotei	1.29754	56.5	1495	1434	2007/08/29	2012/12/22	Complete	US DOE Joint Genome Institute	0	GCA_000017945.1
Synergistetes bacterium SGP1	651822	PRJNA45959	45959	Synergistetes	unclassified Synergistetes	2.72834	61.5	1476	1435	2010/03/25	2010/03/25	Complete	metaHIT	0	GCA_000210715.1
Helicobacter pylori XZ274	1127122	PRJNA79003	79003	Proteobacteria	delta/epsilon subdivisions	1.65654	38.6067	1682	1438	2012/05/14	2012/11/09	Complete	Third Military Medical University	0	GCA_000262655.1
Francisella tularensis subsp. holarctica FSC200	351581	PRJNA16087	16087	Proteobacteria	Gammaproteobacteria	1.89416	32.2	1810	1438	2012/09/28	2013/06/10	Complete	University of Washington	0	GCA_000168775.2
Dehalococcoides sp. VS	311424	PRJNA18811	18811	Chloroflexi	Dehalococcoidia	1.41346	47.3	1491	1439	2009/12/03	2011/10/13	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000025025.1
Methanocaldococcus infernus ME	573063	PRJNA32611	32611	Euryarchaeota	Methanococci	1.32819	33.6	1513	1441	2010/04/30	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000092305.1
[Eubacterium] cylindroides T2-87	717960	PRJNA45917	45917	Firmicutes	Erysipelotrichia	1.96675	38.8	1487	1442	2010/03/25	2010/03/25	Complete	metaHIT	0	GCA_000210615.1
Streptobacillus moniliformis DSM 12112	519441	PRJNA29309	29309	Fusobacteria	Fusobacteriia	1.67328	26.2655	1568	1442	2009/11/16	2011/04/07	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000024565.1
Candidatus Pelagibacter sp. IMCC9063	1002672	PRJNA62303	62303	Proteobacteria	Alphaproteobacteria	1.28473	31.7	1482	1447	2011/04/05	2013/06/11	Complete	Inha University	0	GCA_000195085.1
Borrelia afzelii PKo	390236	PRJNA68149	68149	Spirochaetes	Spirochaetia	1.40429	27.8982	1493	1454	2011/08/05	2012/06/16	Complete	University of Maryland School of Medicine - Institute For Genome Sciences	0	GCA_000222835.1
Dehalococcoides sp. CBDB1	255470	PRJNA15604	15604	Chloroflexi	Dehalococcoidia	1.3955	47	1510	1458	2005/08/19	2013/05/23	Complete	Max Planck Institute	0	GCA_000009025.1
Borrelia burgdorferi JD1	521008	PRJNA29359	29359	Spirochaetes	Spirochaetia	1.53109	28.3017	1544	1458	2009/07/02	2012/06/18	Complete	University of Maryland School of Medicine - Institute for Genome Sciences	0	GCA_000166655.2
Borrelia bissettii DN127	521010	PRJNA29363	29363	Spirochaetes	Spirochaetia	1.40344	28.33	1518	1463	2011/08/01	2012/06/18	Complete	University of Maryland School of Medicine - Institute for Genome Sciences	0	GCA_000222305.1
Helicobacter pylori 26695	85962	PRJNA233	233	Proteobacteria	delta/epsilon subdivisions	1.66787	38.9	1563	1469	1997/08/06	2013/08/26	Complete	TIGR	0	GCA_000008525.1
Borrelia crocidurae str. Achema	1155096	PRJNA85135	85135	Spirochaetes	Spirochaetia	1.52889	29.0609	1507	1470	2012/04/20	2012/07/12	Complete	URMITE	0	GCA_000259345.1
Helicobacter pylori 35A	585535	PRJNA34603	34603	Proteobacteria	delta/epsilon subdivisions	1.56665	38.9	1560	1470	2010/12/29	2013/06/08	Complete	Baylor College of Medicine	SAMN02299423	GCA_000178935.2
Desulfurococcus kamchatkensis 1221n	490899	PRJNA28141	28141	Crenarchaeota	Thermoprotei	1.36522	45.3	1524	1471	2008/12/24	2012/12/23	Complete	Centre 'Bioengineering' RAS	0	GCA_000020905.1
Rickettsia bellii OSU 85-389	391896	PRJNA17237	17237	Proteobacteria	Alphaproteobacteria	1.52898	31.6	1511	1475	2007/10/02	2012/09/27	Complete	University of Iowa	0	GCA_000018245.1
Dehalococcoides mccartyi DCMB5	1193807	PRJNA190184	190184	Chloroflexi	Dehalococcoidia	1.4319	47.1	1526	1477	2013/02/22	2013/06/10	Complete	NCBI	0	GCA_000341655.1
Dehalococcoides mccartyi DCMB5	1193807	PRJNA167311	167311	Chloroflexi	Dehalococcoidia	1.4319	47.1	1526	1477	2013/02/22	2013/05/31	Complete	Friedrich-Schiller-University of Jena	0	GCA_000341655.1
Caldisphaera lagunensis DSM 15908	1056495	PRJNA70815	70815	Crenarchaeota	Thermoprotei	1.54685	30	1576	1478	2012/12/10	2013/06/10	Complete	JGI	SAMN02261426	GCA_000317795.1
Coprothermobacter proteolyticus DSM 5265	309798	PRJNA30729	30729	Firmicutes	Clostridia	1.42491	44.8	1541	1482	2008/09/26	2012/02/13	Complete	The J. Craig Venter Institute	0	GCA_000020945.1
Helicobacter pylori F30	866345	PRJDA50591	50591	Proteobacteria	delta/epsilon subdivisions	1.57969	38.7728	1526	1483	2011/01/08	2012/09/27	Complete	The University of Tokyo	0	GCA_000270025.1
Helicobacter pylori J99	85963	PRJNA234	234	Proteobacteria	delta/epsilon subdivisions	1.64383	39.2	1534	1488	1999/01/12	2013/05/23	Complete	ASTRA	0	GCA_000008785.1
Bartonella henselae str. Houston-1	283166	PRJNA196	196	Proteobacteria	Alphaproteobacteria	1.93105	38.2	1665	1488	2004/06/24	2013/05/23	Complete	Uppsala Univ.	0	GCA_000046705.1
Helicobacter pylori F32	102608	PRJDA50593	50593	Proteobacteria	delta/epsilon subdivisions	1.58146	38.8963	1533	1490	2011/01/08	2012/06/12	Complete	The University of Tokyo	0	GCA_000270045.1
Methanococcus aeolicus Nankai-3	419665	PRJNA18641	18641	Euryarchaeota	Methanococci	1.5695	30	1552	1490	2007/06/29	2013/06/06	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000017185.1
Candidatus Arthromitus sp. SFB-mouse-Japan	1029718	PRJDA66727	66727	Firmicutes	Clostridia	1.62	28.3	1570	1491	2011/08/03	2013/06/08	Complete	Frontier Science Research Center, University of Miyazaki	0	GCA_000270205.1
alpha proteobacterium HIMB59	744985	PRJNA46519	46519	Proteobacteria	Alphaproteobacteria	1.41013	32.3	1531	1493	2012/09/24	2013/06/09	Complete	Gordon and Betty Moore Foundation Marine Microbiology Initiative	0	GCA_000299115.1
Helicobacter pylori OK310	1248726	PRJDB694	192818	Proteobacteria	delta/epsilon subdivisions	1.59544	38.7937	1535	1493	2013/03/11	2013/04/20	Complete	University of Tokyo	0	GCA_000348885.1
Helicobacter pylori PeCan18	1163742	PRJNA95275	95275	Proteobacteria	delta/epsilon subdivisions	1.66068	39	1537	1495	2012/04/19	2013/06/08	Complete	Dept. Molec. Microbiology, Washington University Medical School in Saint Louis	0	GCA_000277425.1
Candidatus Endolissoclinum faulkneri L2	1193729	PRJNA164601	164601	Proteobacteria	Alphaproteobacteria	1.48119	34.1	1546	1498	2012/11/28	2013/06/11	Complete	University of Utah	0	GCA_000319385.1
Acidilobus saccharovorans 345-15	666510	PRJNA39927	39927	Crenarchaeota	Thermoprotei	1.49645	57.2	1551	1499	2010/08/06	2013/06/08	Complete	Centre Bioengineering RAS	0	GCA_000144915.1
Helicobacter pylori F16	866344	PRJDA50589	50589	Proteobacteria	delta/epsilon subdivisions	1.5754	38.9	1543	1500	2011/01/08	2013/06/08	Complete	The University of Tokyo	0	GCA_000270005.1
Helicobacter pylori HUP-B14	1163743	PRJNA95277	95277	Proteobacteria	delta/epsilon subdivisions	1.60758	39.0866	1543	1501	2012/04/19	2012/06/17	Complete	Dept. Molec. Microbiology, Washington University Medical School in Saint Louis	0	GCA_000259235.1
Thermoplasma volcanium GSS1	273116	PRJNA206	206	Euryarchaeota	Thermoplasmata	1.5848	39.9	1550	1501	2001/03/22	2013/06/10	Complete	National Institute of Advanced Industrial Science and Technology, Japan	0	GCA_000011185.1
Helicobacter pylori G27	563041	PRJNA31341	31341	Proteobacteria	delta/epsilon subdivisions	1.66301	38.8759	1581	1504	2008/10/03	2008/12/18	Complete	University of Oregon	0	GCA_000021165.1
Helicobacter pylori Sat464	794851	PRJNA49453	49453	Proteobacteria	delta/epsilon subdivisions	1.56757	39.0742	1550	1508	2010/10/01	2012/06/14	Complete	Dept. Molec. Microbiology, Washintgton University Medical School in Saint Louis	0	GCA_000148915.1
Polynucleobacter necessarius subsp. necessarius STIR1	452638	PRJNA19991	19991	Proteobacteria	Betaproteobacteria	1.56047	45.6	1783	1508	2008/03/28	2012/12/22	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000019745.1
Desulfurobacterium thermolithotrophum DSM 11699	868864	PRJNA51497	51497	Aquificae	Aquificae	1.54197	34.9	1594	1509	2011/03/02	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00713591	GCA_000191045.1
Rickettsia felis URRWXCal2	315456	PRJNA13884	13884	Proteobacteria	Alphaproteobacteria	1.58724	32.5609	1551	1512	2005/06/07	2012/12/22	Complete	CNRS	0	GCA_000012145.1
Bifidobacterium animalis subsp. lactis BLC1	1075106	PRJNA71815	71815	Actinobacteria	Actinobacteria	1.93858	60.5	1607	1518	2011/09/01	2013/06/10	Complete	University of Parma Sacco srl	0	GCA_000224965.2
Bifidobacterium animalis subsp. lactis Bl12	1281781	PRJNA186412	186412	Actinobacteria	Actinobacteria	1.93861	60.5	1607	1518	2013/06/25	2013/06/29	Complete	University of Parma	0	GCA_000414215.1
Helicobacter pylori SNT49	1055530	PRJNA69921	69921	Proteobacteria	delta/epsilon subdivisions	1.61083	38.9968	1561	1519	2011/08/26	2012/06/16	Complete	Washington University Medical School	0	GCA_000224575.1
Helicobacter pylori OK113	1248725	PRJDB693	192817	Proteobacteria	delta/epsilon subdivisions	1.61662	38.7	1562	1520	2013/03/11	2013/06/10	Complete	University of Tokyo	0	GCA_000348865.1
Helicobacter pylori F57	866346	PRJDA50595	50595	Proteobacteria	delta/epsilon subdivisions	1.60901	38.7	1563	1520	2011/01/08	2013/06/08	Complete	The University of Tokyo	0	GCA_000270065.1
Taylorella asinigenitalis MCE3	1008459	PRJNA66041	66041	Proteobacteria	Betaproteobacteria	1.63856	38.3	1576	1524	2011/09/28	2013/06/08	Complete	Anses	0	GCA_000226625.1
Mycoplasma haemofelis Ohio2	859194	PRJNA50029	50029	Tenericutes	Mollicutes	1.15594	38.8	1583	1524	2011/05/27	2013/06/08	Complete	Purdue University	0	GCA_000186985.3
Helicobacter pylori Shi169	1163741	PRJNA94507	94507	Proteobacteria	delta/epsilon subdivisions	1.61691	38.9	1567	1525	2012/04/19	2013/06/08	Complete	Dept. Molec. Microbiology, Washington University Medical School in Saint Louis	0	GCA_000277385.1
Aciduliprofundum sp. MAR08-339	673860	PRJNA73039	73039	Euryarchaeota	unclassified Euryarchaeota	1.43709	44.1	1581	1525	2012/12/21	2012/12/21	Complete	JGI	SAMN02261429	GCA_000327505.1
Bifidobacterium animalis subsp. lactis AD011	442563	PRJNA19423	19423	Actinobacteria	Actinobacteria	1.93369	60.5	1603	1527	2009/01/06	2013/06/10	Complete	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	0	GCA_000021425.1
Thermoplasmatales archaeon BRNA1	1054217	PRJNA68695	68695	Euryarchaeota	Thermoplasmata	1.46111	58.3	1577	1528	2013/04/02	2013/04/02	Complete	CSIRO Livestock Industries	0	GCA_000350305.1
Dehalococcoides mccartyi BTF08	1193806	PRJNA190183	190183	Chloroflexi	Dehalococcoidia	1.45233	47.3	1580	1529	2013/02/22	2013/06/10	Complete	NCBI	0	GCA_000341695.1
Dehalococcoides mccartyi BTF08	1193806	PRJNA167310	167310	Chloroflexi	Dehalococcoidia	1.45233	47.3	1580	1529	2013/02/22	2013/02/22	Complete	Friedrich-Schiller-University of Jena	0	GCA_000341695.1
Elusimicrobium minutum Pei191	445932	PRJNA19701	19701	Elusimicrobia	Elusimicrobia	1.64356	40	1599	1529	2008/04/30	2012/12/22	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000020145.1
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	390333	PRJNA16871	16871	Firmicutes	Bacilli	1.865	49.7	2184	1529	2006/05/26	2013/05/23	Complete	Genoscope	0	GCA_000056065.1
Campylobacter jejuni subsp. jejuni ICDCCJ07001	757425	PRJNA47949	47949	Proteobacteria	delta/epsilon subdivisions	1.70892	30.551	1671	1534	2010/12/14	2013/06/10	Complete	Dept. of  Diagnosis for Infectious Disease	0	GCA_000184085.1
Methanosphaera stadtmanae DSM 3091	339860	PRJNA15579	15579	Euryarchaeota	Methanobacteria	1.7674	27.6	1591	1535	2006/01/05	2013/05/23	Complete	University of Goettingen	0	GCA_000012545.1
Picrophilus torridus DSM 9790	263820	PRJNA10641	10641	Euryarchaeota	Thermoplasmata	1.5459	36	1587	1537	2004/06/08	2013/05/23	Complete	Institut of Microbiology and Genetics, University of Goettingen	0	GCA_000008265.1
Helicobacter pylori Aklavik117	1055531	PRJNA69923	69923	Proteobacteria	delta/epsilon subdivisions	1.63613	38.7292	1580	1538	2012/11/26	2012/12/06	Complete	Washington University Medical School	0	GCA_000315955.1
Bifidobacterium animalis subsp. animalis ATCC 25527	703613	PRJNA41423	41423	Actinobacteria	Actinobacteria	1.93269	60.5	1601	1538	2012/04/30	2013/06/11	Complete	Penn State University, Department of Food Science	0	GCA_000260715.1
Helicobacter pylori HPAG1	357544	PRJNA16183	16183	Proteobacteria	delta/epsilon subdivisions	1.60574	39.0842	1581	1539	2006/06/06	2010/03/05	Complete	Washington University (WashU)	0	GCA_000013245.1
Helicobacter pylori Puno120	1055528	PRJNA69917	69917	Proteobacteria	delta/epsilon subdivisions	1.63776	38.8758	1582	1540	2011/08/26	2012/06/16	Complete	Washington University Medical School	0	GCA_000224535.1
Taylorella equigenitalis ATCC 35865	743973	PRJNA73729	73729	Proteobacteria	Betaproteobacteria	1.73212	37.3	1610	1542	2012/07/09	2013/06/11	Complete	University of Bristol	0	GCA_000276685.1
Aciduliprofundum boonei T469	439481	PRJNA38403	38403	Euryarchaeota	unclassified Euryarchaeota	1.48678	39.2	1601	1544	2010/02/24	2012/12/22	Complete	US DOE Joint Genome Institute	0	GCA_000025665.1
Campylobacter lari RM2100	306263	PRJNA12517	12517	Proteobacteria	delta/epsilon subdivisions	1.57166	29.6177	1612	1544	2009/02/05	2011/09/29	Complete	TIGR	0	GCA_000019205.1
Francisella tularensis subsp. tularensis TI0902	1001534	PRJNA64439	64439	Proteobacteria	Gammaproteobacteria	1.89274	32.3	1764	1544	2012/02/23	2013/06/11	Complete	Virginia Polytechnic Institute and State University	0	GCA_000248435.1
Mycoplasma haemofelis str. Langford 1	941640	PRJEA61503	61503	Tenericutes	Mollicutes	1.14726	38.9	1580	1545	2011/01/20	2013/06/10	Complete	Centre for Genomic Research, Institute of Integrative Biology, University of Liverpool	0	GCA_000200735.1
Helicobacter pylori Shi417	1163739	PRJNA94345	94345	Proteobacteria	delta/epsilon subdivisions	1.66572	38.8	1590	1548	2012/04/19	2013/06/08	Complete	Dept. Molec. Microbiology, Washington University Medical School in Saint Louis	0	GCA_000277365.1
Helicobacter pylori v225d	637913	PRJNA36609	36609	Proteobacteria	delta/epsilon subdivisions	1.5956	38.972	1633	1549	2010/06/03	2012/06/18	Complete	The Pathosystems Resource Integration Center (PATRIC)	0	GCA_000093185.1
Lactobacillus salivarius CECT 5713	712961	PRJNA43535	43535	Firmicutes	Bacilli	2.13614	33.0072	1674	1552	2010/07/07	2012/12/24	Complete	Universidad Complutense de Madrid	0	GCA_000143435.1
Helicobacter pylori UM298	1321941	PRJNA196983	196983	Proteobacteria	delta/epsilon subdivisions	1.60422	38.8	1624	1553	2013/07/23	2013/08/30	Complete	University of Malaya	0	GCA_000439295.1
